5,11,16,18
5,11,13
3,9,14,15,17,18
3,9,14,15,16,18
3,9,10,12,13
3,9,10,12,17,18
3,9,10,15,17,18
3,9,10,15,16,18
3,9,10,11,16,18
3,9,10,11,13
1,6,7,10,12,13
1,6,7,10,12,17,18
1,6,7,10,15,17,18
1,6,7,10,15,16,18
1,6,7,10,11,16,18
1,6,7,10,11,13
1,6,7,8,12,13
1,6,7,8,12,17,18
1,6,9,14,15,17,18
1,6,9,14,15,16,18
1,6,9,10,12,13
1,6,9,10,12,17,18
1,6,9,10,15,17,18
1,6,9,10,15,16,18
1,6,9,10,11,16,18
1,6,9,10,11,13
20,21,26,27,30,32,33
20,21,26,27,30,32,37,38
20,21,26,27,30,35,37,38
20,21,26,27,30,35,36
20,21,26,27,30,31
20,21,26,27,28,32,33
20,21,26,27,28,32,37,38
20,21,26,29,34,35,37,38
20,21,26,29,34,35,36
20,21,26,29,30,32,33
20,21,26,29,30,32,37,38
20,21,26,29,30,35,37,38
20,21,26,29,30,35,36
20,21,26,29,30,31
20,21,23,24,25
20,21,23,24,30,32,33
20,21,23,24,30,32,37,38
20,21,23,24,30,35,37,38
20,21,23,24,30,35,36
20,21,23,24,30,31
20,21,23,29,34,35,37,38
20,21,23,29,34,35,36
20,21,23,29,30,32,33
20,21,23,29,30,32,37,38
20,21,23,29,30,35,37,38
20,21,23,29,30,35,36
20,21,23,29,30,31
20,21,22,24,25
20,21,22,24,30,32,33
20,21,22,24,30,32,37,38
20,21,22,24,30,35,37,38
20,21,22,24,30,35,36
20,21,22,24,30,31
20,21,22,27,30,32,33
20,21,22,27,30,32,37,38
20,21,22,27,30,35,37,38
20,21,22,27,30,35,36
20,21,22,27,30,31
20,21,22,27,28,32,33
20,21,22,27,28,32,37,38
45,51,56,58,59
45,51,53,58,59
44,50,52,53,58,59
44,50,52,57,58,59
44,50,55,57,58,59
44,50,55,56,58,59
44,50,51,56,58,59
44,50,51,53,58,59
43,49,54,55,57,58,59
43,49,54,55,56,58,59
43,49,50,52,53,58,59
43,49,50,52,57,58,59
43,49,50,55,57,58,59
43,49,50,55,56,58,59
43,49,50,51,56,58,59
43,49,50,51,53,58,59
42,47,50,52,53,58,59
42,47,50,52,57,58,59
42,47,50,55,57,58,59
42,47,50,55,56,58,59
42,47,50,51,56,58,59
42,47,50,51,53,58,59
42,47,48,52,53,58,59
42,47,48,52,57,58,59
41,46,47,50,52,53,58,59
41,46,47,50,52,57,58,59
41,46,47,50,55,57,58,59
41,46,47,50,55,56,58,59
41,46,47,50,51,56,58,59
41,46,47,50,51,53,58,59
